author	affiliation	affiliation_fix
Eva Anduiza	Universitat Autònoma de Barcelona, Spain. Universitat Autónoma de Barcelona, Spain	Universitat Autònoma de Barcelona, Spain
Guillem Rico	Universitat Autònoma de Barcelona, Spain. Universitat Autonoma de Barcelona, Spain	Universitat Autònoma de Barcelona, Spain
Gabriele Spilker	Universität Konstanz, Germany. University of Konstanz, Germany	University of Konstanz, Germany
Joaquín Rozas-Bugueño	Universitat Pompeu Fabra, Spain. Universitat Pomepu Fabra, Spain	Universitat Pompeu Fabra, Spain
Josep Maria Comellas	Universitat Pompeu Fabra, Spain. Universitat Pompeu Fabra, Spain	Universitat Pompeu Fabra, Spain
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	Université de Montréal, Canada
Semih Cakir	Université de Montréal, Canada. University of Vienna, Austria	Université de Montréal, Canada && University of Vienna, Austria
Emilien Paulis	Université du Luxembourg, Luxembourg. Université Libre de Bruxelles, Belgium	Université du Luxembourg, Luxembourg && Université Libre de Bruxelles, Belgium
Davide Vittori	Université libre de Bruxelles, Belgium. Université Libre de Bruxelles, Belgium	Université Libre de Bruxelles, Belgium
Guido Panzano	Université libre de Bruxelles (ULB), Belgium. Université libre de Bruxelles, Belgium. ULB, Belgium	Université Libre de Bruxelles, Belgium
Jean-Benoit Pilet	Université libre de Bruxelles, Belgium. Université Libre de Bruxelles, Belgium	Université Libre de Bruxelles, Belgium
Sebastien Rojon	Université libre de Bruxelles, Belgium. Université Libre de Bruxelles, Belgium	Université Libre de Bruxelles, Belgium
Pedro Riera	Charles III University of Madrid, Spain. University Carlos III of Madrid, Spain. University Carlos III, Spain	Universidad Carlos III de Madrid, Spain
Stefan Müller	University College Dublin, Ireland. University College, Dublin, Ireland	University College Dublin, Ireland
Aparna Ravi	University College London, USA. University College London, United Kingdom	University College London, United Kingdom
Markus Kollberg	University College London (UCL), United Kingdom. University College London, United Kingdom	University College London, United Kingdom
Peter Dinesen	University College London, United Kingdom. University College London and University of Copenhagen, United Kingdom	University College London, United Kingdom && University of Copenhagen, Denmark
Jihed Ncib	University College, Dublin, Ireland. University College Dublin, Ireland	University College, Dublin, Ireland
Alessandro Del Ponte	University of Alabama, USA. The University of Alabama, USA	University of Alabama, USA
Fabio Votta	University of Amsterdam, Netherlands. University of Amsterdam, Germany	University of Amsterdam, Netherlands
Albert Falcó-Gimeno	Universitat de Barcelona, Spain. University of Barcelona, Spain	University of Barcelona, Spain
Albert Solé-Ollé	U. of Barcelona, Spain	University of Barcelona, Spain
Macarena Ares	University of Barcelona, Spain. Universitat de Barcelona, Spain	University of Barcelona, Spain
Matteo Gamalerio	U. of Barcelona, Spain	University of Barcelona, Spain
Stefanie Bailer	University of Basel, Switzerland. University of Basel, Germany	University of Basel, Switzerland
Marta Eidheim	University of Bergen, Norway. Univresity of Bergen, Norway	University of Bergen, Norway
Lise Rakner	University of Bergen, Norway. Chr. Michelsens Institute, Norway	University of Bergen, Norway && Chr. Michelsens Institute, Norway
Indridi Indridason	Univ. of California, Riverside, USA. University of California Riverside, USA	University of California Riverside, USA
Sven-Oliver Proksch	University of Cologne, Germany. University of Cologne, Cologne Center for Comparative Politics, Germany	University of Cologne, Cologne Center for Comparative Politics, Germany
Kristina Aleksandrovna Pedersen	University of Copenhagen, Department of Political Science, Denmark. University of Copenhagen, Denmark	University of Copenhagen, Denmark
Achim Goerres	University of Duisburg-Essen, Germany. Universität Duisburg-Essen, Germany	University of Duisburg-Essen, Germany
Ju Yeon Park	University of Essex, United Kingdom. Essex, United Kingdom	University of Essex, United Kingdom
Simon Hug	Universit of Geneva, Switzerland. University of Geneva, Switzerland	University of Geneva, Switzerland
Anja Neundorf	University of Glasgow, United Kingdom. Glasgow, United Kingdom	University of Glasgow, United Kingdom
Aykut Ozturk	Glasgow, United Kingdom. University of Glasgow, United Kingdom	University of Glasgow, United Kingdom
Fabio Angiolillo	University of Gothenburg, Sweden. Gothenburg University, Sweden	University of Gothenburg, Sweden
Luca Versteegen	University of Gothenburg, Sweden. Gothenburg University, Sweden	University of Gothenburg, Sweden
Nadine O'Shea	Greifswald University, Germany. University of Greifswald, Germany	University of Greifswald, Germany
Gerald Schneider	University of Konstanz, Germany. Universit of Konstanz, Germany	University of Konstanz, Germany
David Schweizer	University of Mannheim, Germany. University of Mannheim, Georgia	University of Mannheim, Germany
Jan Menzner	University of Mannheim, Germany. University of Mannhein, Germany	University of Mannheim, Germany
João Areal	University of Mannhein, Germany. University of Mannheim, Germany	University of Mannhein, Germany
Carl Henrik Knutsen	University of Oslo, Norway. University of Oslo (UiO), Norway	University of Oslo, Norway
Philipp Lutscher	University of Oslo (UiO), Norway. University of Oslo, Norway	University of Oslo, Norway
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	University of Oslo, Norway
Scott Gates	University of Oslo, Norway. Peace Research Institute Oslo (PRIO), Norway. PRIO, Norway	University of Oslo, Norway && Peace Research Institute Oslo (PRIO), Norway
Alexander Kuo	University of Oxford, United Kingdom. Oxford Unviersity, United Kingdom. Oxford University, United Kingdom	University of Oxford, United Kingdom
Andrea Ruggeri	andrea.ruggeri@politics.ox.ac.uk, United Kingdom	University of Oxford, United Kingdom
Tarik Abou-Chadi	University of Oxford, United Kingdom. Oxford University, United Kingdom	University of Oxford, United Kingdom
Thomas Hale	University of Oxford, United Kingdom. Oxford University, United Kingdom	University of Oxford, United Kingdom
Marco Pastor Mayo	University of Oxford, Spain. University of Barcelona, Spain	University of Oxford, United Kingdom && University of Barcelona, Spain
Robert Huber	University of Salzburg, Austria. University of Reading, United Kingdom	University of Salzburg, Austria && University of Reading, United Kingdom
Eri Bertsou	University of St Gallen, Switzerland. St Gallen, Switzerland. University of St.Gallen, Switzerland	University of St Gallen, Switzerland
Matthias Haslberger	University of St Gallen, Switzerland. University of St Gallen, Switzerland	University of St Gallen, Switzerland
Sebastian Ludwicki-Ziegler	Stirling University, United Kingdom. University of Stirling, United Kingdom	University of Stirling, United Kingdom
Carlos Mendez	Strathclyde University, United Kingdom. University of Strathclyde, United Kingdom	University of Strathclyde, United Kingdom
Despina Alexiadou	Strathclyde, United Kingdom. University of Strathclyde, United Kingdom	University of Strathclyde, United Kingdom
Patrick Bayer	University of Strathclyde, United Kingdom. Strathclyde University, United Kingdom	University of Strathclyde, United Kingdom
Sivaram Cheruvu	University of Texas-Dallas, USA. University of Texas at Dallas, USA	University of Texas at Dallas, USA
Theres Matthieß	University of Trier, Germany. University of Trier, Netherlands	University of Trier, Germany
Janne Tukiainen	Turku University, Finland. University of Turku, Finland	University of Turku, Finland
Lena Maria Huber	University of Vienna, Austria. MZES, University of Mannheim, Germany	University of Vienna, Austria && MZES, University of Mannheim, Germany
Regina Goodnow	University of Wisconsin - La Crosse, USA. University of Wisconsin, USA	University of Wisconsin - La Crosse, USA
Tana Johnson	University of Wisconsin-Madison, USA. University of Wisconsin, USA	University of Wisconsin-Madison, USA
Nils-Christian Bormann	Witten/Herdecke University, Germany. University of Witten/Herdecke, Germany	University of Witten/Herdecke, Germany
Diane Bolet	University of Zurich, Switzerland. University of Zurich, Swaziland	University of Zurich, Switzerland
Valentina Consiglio	University of Zurich, Switzerland. University of Konstanz, Germany	University of Zurich, Switzerland && University of Konstanz, Germany
Gudlaug Olafsdottir	Uppsala University, Sweden. University of Uppsala, Sweden	Uppsala University, Sweden
Bradley Smith	Vanderbilt University, USA. Vanderbilt, USA	Vanderbilt University, USA
Erin York	Vanderbilt University, USA. Vanderbilt, USA	Vanderbilt University, USA
Philipp Lutz	Vrije Universiteit Amsterdam, Netherlands. VU University Amsterdam, Netherlands	Vrije Universiteit Amsterdam, Netherlands
Jacob Montgomery	Washington University in St Louis, USA. Washington University in Saint Louis, USA. Wasington University in Saint Louis, USA	Washington University in Saint Louis, USA
Daniel Saldivia Gonzatti	WZB Berlin Social Science Center, Germany. WZB Berlin, Germany	WZB Berlin Social Science Center, Germany
Pola Lehmann	WZB Berlin Social Science Center, Germany. WZB Berlin Social Science Center, Germany	WZB Berlin Social Science Center, Germany
Martin Elff	Zeppelin University, Germany. Zeppelin Universität, Germany	Zeppelin University, Germany
