session_id	session_ref	session_track	session_title	chair	chair_affiliation	discussant	discussant_affiliation	abstract_id
70844	BO61	Behaviour and Opinion	Political effects of media exposure	NA	NA	Clara Vandeweerdt	NA	1783
70843	BO60	Behaviour and Opinion	The normalisation of the radical right	Hugo Marcos-Marné	NA	Diane Bolet	NA	423
70843	BO60	Behaviour and Opinion	The normalisation of the radical right	Hugo Marcos-Marné	NA	Diane Bolet	NA	635
70843	BO60	Behaviour and Opinion	The normalisation of the radical right	Hugo Marcos-Marné	NA	Diane Bolet	NA	694
70843	BO60	Behaviour and Opinion	The normalisation of the radical right	Hugo Marcos-Marné	NA	Diane Bolet	NA	1788
70843	BO60	Behaviour and Opinion	The normalisation of the radical right	Hugo Marcos-Marné	NA	Diane Bolet	NA	1887
70842	BO59	Behaviour and Opinion	The many dimension of evaluating candidates	Stefanie Reher	NA	Julie Nielsen	NA	174
70842	BO59	Behaviour and Opinion	The many dimension of evaluating candidates	Stefanie Reher	NA	Julie Nielsen	NA	1403
70842	BO59	Behaviour and Opinion	The many dimension of evaluating candidates	Stefanie Reher	NA	Julie Nielsen	NA	1423
70842	BO59	Behaviour and Opinion	The many dimension of evaluating candidates	Stefanie Reher	NA	Julie Nielsen	NA	1749
70841	BO58	Behaviour and Opinion	The gender gap revisited	Macarena Ares	University of Barcelona, Spain	Leonardo Carella	University of Oxford, United Kingdom	912
70841	BO58	Behaviour and Opinion	The gender gap revisited	Macarena Ares	University of Barcelona, Spain	Leonardo Carella	University of Oxford, United Kingdom	991
70841	BO58	Behaviour and Opinion	The gender gap revisited	Macarena Ares	University of Barcelona, Spain	Leonardo Carella	University of Oxford, United Kingdom	1197
70841	BO58	Behaviour and Opinion	The gender gap revisited	Macarena Ares	University of Barcelona, Spain	Leonardo Carella	University of Oxford, United Kingdom	1673
70840	BO57	Behaviour and Opinion	The effects of inequality on political trust	Rasmus Pedersen	NA	Lucy Barnes	NA	900
70840	BO57	Behaviour and Opinion	The effects of inequality on political trust	Rasmus Pedersen	NA	Lucy Barnes	NA	927
70840	BO57	Behaviour and Opinion	The effects of inequality on political trust	Rasmus Pedersen	NA	Lucy Barnes	NA	1257
70840	BO57	Behaviour and Opinion	The effects of inequality on political trust	Rasmus Pedersen	NA	Lucy Barnes	NA	1279
70839	BO56	Behaviour and Opinion	The Effects of Education on Political Behaviour	Ignacio Jurado	Carlos III University of Madrid, Spain	Ben Ansell	University of Oxford, United Kingdom	482
70839	BO56	Behaviour and Opinion	The Effects of Education on Political Behaviour	Ignacio Jurado	Carlos III University of Madrid, Spain	Ben Ansell	University of Oxford, United Kingdom	841
70839	BO56	Behaviour and Opinion	The Effects of Education on Political Behaviour	Ignacio Jurado	Carlos III University of Madrid, Spain	Ben Ansell	University of Oxford, United Kingdom	1311
70839	BO56	Behaviour and Opinion	The Effects of Education on Political Behaviour	Ignacio Jurado	Carlos III University of Madrid, Spain	Ben Ansell	University of Oxford, United Kingdom	1374
70839	BO56	Behaviour and Opinion	The Effects of Education on Political Behaviour	Ignacio Jurado	Carlos III University of Madrid, Spain	Ben Ansell	University of Oxford, United Kingdom	1510
70838	BO55	Behaviour and Opinion	No justice, no peace	Marco Pastor Mayo	NA	Alexander Pacek	NA	298
70838	BO55	Behaviour and Opinion	No justice, no peace	Marco Pastor Mayo	NA	Alexander Pacek	NA	1610
70838	BO55	Behaviour and Opinion	No justice, no peace	Marco Pastor Mayo	NA	Alexander Pacek	NA	1519
70837	BO54	Behaviour and Opinion	The consequences of affective polarization	Luana Russo	Maastricht University, Netherlands	Eelco Harteveld	University of Amsterdam, Netherlands	702
70837	BO54	Behaviour and Opinion	The consequences of affective polarization	Luana Russo	Maastricht University, Netherlands	Eelco Harteveld	University of Amsterdam, Netherlands	772
70837	BO54	Behaviour and Opinion	The consequences of affective polarization	Luana Russo	Maastricht University, Netherlands	Eelco Harteveld	University of Amsterdam, Netherlands	1272
70837	BO54	Behaviour and Opinion	The consequences of affective polarization	Luana Russo	Maastricht University, Netherlands	Eelco Harteveld	University of Amsterdam, Netherlands	1314
70835	BO53	Behaviour and Opinion	Technological Change and Political Preferences	Thomas Kurer	University of Zurich, Switzerland	David Hope	King's College London, United Kingdom	132
70835	BO53	Behaviour and Opinion	Technological Change and Political Preferences	Thomas Kurer	University of Zurich, Switzerland	David Hope	King's College London, United Kingdom	747
70835	BO53	Behaviour and Opinion	Technological Change and Political Preferences	Thomas Kurer	University of Zurich, Switzerland	David Hope	King's College London, United Kingdom	804
70835	BO53	Behaviour and Opinion	Technological Change and Political Preferences	Thomas Kurer	University of Zurich, Switzerland	David Hope	King's College London, United Kingdom	1140
70834	BO52	Behaviour and Opinion	Technocratic attitudes and political trust in times of crises	Eri Bertsou	NA	Rubén Ruiz-Rufino	NA	852
70834	BO52	Behaviour and Opinion	Technocratic attitudes and political trust in times of crises	Eri Bertsou	NA	Rubén Ruiz-Rufino	NA	1148
70834	BO52	Behaviour and Opinion	Technocratic attitudes and political trust in times of crises	Eri Bertsou	NA	Rubén Ruiz-Rufino	NA	1233
70834	BO52	Behaviour and Opinion	Technocratic attitudes and political trust in times of crises	Eri Bertsou	NA	Rubén Ruiz-Rufino	NA	1490
70833	BO51	Behaviour and Opinion	Status threat and its political consequences among the natives	Leon Küstermann	NA	Luca Versteegen	University of Gothenburg, Sweden	48
70833	BO51	Behaviour and Opinion	Status threat and its political consequences among the natives	Leon Küstermann	NA	Luca Versteegen	University of Gothenburg, Sweden	97
70833	BO51	Behaviour and Opinion	Status threat and its political consequences among the natives	Leon Küstermann	NA	Luca Versteegen	University of Gothenburg, Sweden	1460
70833	BO51	Behaviour and Opinion	Status threat and its political consequences among the natives	Leon Küstermann	NA	Luca Versteegen	University of Gothenburg, Sweden	1218
70832	BO50	Behaviour and Opinion	Social movements, their (disruptive) tactics and effects on public attitudes	Isabelle Guinaudeau	NA	Daniel Saldivia Gonzatti	WZB Berlin, Germany	1001
70832	BO50	Behaviour and Opinion	Social movements, their (disruptive) tactics and effects on public attitudes	Isabelle Guinaudeau	NA	Daniel Saldivia Gonzatti	WZB Berlin, Germany	1397
70832	BO50	Behaviour and Opinion	Social movements, their (disruptive) tactics and effects on public attitudes	Isabelle Guinaudeau	NA	Daniel Saldivia Gonzatti	WZB Berlin, Germany	1420
70832	BO50	Behaviour and Opinion	Social movements, their (disruptive) tactics and effects on public attitudes	Isabelle Guinaudeau	NA	Daniel Saldivia Gonzatti	WZB Berlin, Germany	1517
70832	BO50	Behaviour and Opinion	Social movements, their (disruptive) tactics and effects on public attitudes	Isabelle Guinaudeau	NA	Daniel Saldivia Gonzatti	WZB Berlin, Germany	1881
70831	BO49	Behaviour and Opinion	Religion, social capital and voting behaviour	Jona De Jong	NA	NA	NA	288
70831	BO49	Behaviour and Opinion	Religion, social capital and voting behaviour	Jona De Jong	NA	NA	NA	1373
70831	BO49	Behaviour and Opinion	Religion, social capital and voting behaviour	Jona De Jong	NA	NA	NA	1418
70831	BO49	Behaviour and Opinion	Religion, social capital and voting behaviour	Jona De Jong	NA	NA	NA	1568
70831	BO49	Behaviour and Opinion	Religion, social capital and voting behaviour	Jona De Jong	NA	NA	NA	1631
70830	BO48	Behaviour and Opinion	Redistribution preferences: Psychological and contextual drivers	David Attewell	NA	Macarena Ares	NA	899
70830	BO48	Behaviour and Opinion	Redistribution preferences: Psychological and contextual drivers	David Attewell	NA	Macarena Ares	NA	928
70830	BO48	Behaviour and Opinion	Redistribution preferences: Psychological and contextual drivers	David Attewell	NA	Macarena Ares	NA	939
70830	BO48	Behaviour and Opinion	Redistribution preferences: Psychological and contextual drivers	David Attewell	NA	Macarena Ares	NA	1596
70829	BO47	Behaviour and Opinion	Psychological approaches to rising polarization	Anthony Kevins	Loughborough University, United Kingdom	Michele Fenzl	NA	208
70829	BO47	Behaviour and Opinion	Psychological approaches to rising polarization	Anthony Kevins	Loughborough University, United Kingdom	Michele Fenzl	NA	1244
70829	BO47	Behaviour and Opinion	Psychological approaches to rising polarization	Anthony Kevins	Loughborough University, United Kingdom	Michele Fenzl	NA	1466
70829	BO47	Behaviour and Opinion	Psychological approaches to rising polarization	Anthony Kevins	Loughborough University, United Kingdom	Michele Fenzl	NA	1955
70827	BO46	Behaviour and Opinion	Prejudice and politics	Peter Thisted Dinesen	NA	Gabriele Magni	NA	1242
70827	BO46	Behaviour and Opinion	Prejudice and politics	Peter Thisted Dinesen	NA	Gabriele Magni	NA	1174
70827	BO46	Behaviour and Opinion	Prejudice and politics	Peter Thisted Dinesen	NA	Gabriele Magni	NA	1281
70826	BO45	Behaviour and Opinion	Politics of immigration and cross-border policies	Judith Spirig	NA	Moritz Marbach	UCL, United Kingdom	761
70826	BO45	Behaviour and Opinion	Politics of immigration and cross-border policies	Judith Spirig	NA	Moritz Marbach	UCL, United Kingdom	1129
70826	BO45	Behaviour and Opinion	Politics of immigration and cross-border policies	Judith Spirig	NA	Moritz Marbach	UCL, United Kingdom	1131
70826	BO45	Behaviour and Opinion	Politics of immigration and cross-border policies	Judith Spirig	NA	Moritz Marbach	UCL, United Kingdom	1150
70826	BO45	Behaviour and Opinion	Politics of immigration and cross-border policies	Judith Spirig	NA	Moritz Marbach	UCL, United Kingdom	57
70825	BO44	Behaviour and Opinion	Political accountability	Jan Freihardt	NA	Eleanor Woodhouse	NA	199
70825	BO44	Behaviour and Opinion	Political accountability	Jan Freihardt	NA	Eleanor Woodhouse	NA	677
70825	BO44	Behaviour and Opinion	Political accountability	Jan Freihardt	NA	Eleanor Woodhouse	NA	916
70825	BO44	Behaviour and Opinion	Political accountability	Jan Freihardt	NA	Eleanor Woodhouse	NA	1277
70825	BO44	Behaviour and Opinion	Political accountability	Jan Freihardt	NA	Eleanor Woodhouse	NA	1607
70824	BO43	Behaviour and Opinion	Political Participation and Preferences in the Knowledge Economy	Alexander Kuo	Oxford Unviersity, United Kingdom	Alexander Kuo	Oxford University, United Kingdom	303
70824	BO43	Behaviour and Opinion	Political Participation and Preferences in the Knowledge Economy	Alexander Kuo	Oxford Unviersity, United Kingdom	Alexander Kuo	Oxford University, United Kingdom	817
70824	BO43	Behaviour and Opinion	Political Participation and Preferences in the Knowledge Economy	Alexander Kuo	Oxford Unviersity, United Kingdom	Alexander Kuo	Oxford University, United Kingdom	944
70824	BO43	Behaviour and Opinion	Political Participation and Preferences in the Knowledge Economy	Alexander Kuo	Oxford Unviersity, United Kingdom	Alexander Kuo	Oxford University, United Kingdom	1051
70824	BO43	Behaviour and Opinion	Political Participation and Preferences in the Knowledge Economy	Alexander Kuo	Oxford Unviersity, United Kingdom	Alexander Kuo	Oxford University, United Kingdom	1065
70823	BO42	Behaviour and Opinion	Political Participation and turn-out	Martin Rosema	NA	Jona De Jong	NA	434
70823	BO42	Behaviour and Opinion	Political Participation and turn-out	Martin Rosema	NA	Jona De Jong	NA	828
70823	BO42	Behaviour and Opinion	Political Participation and turn-out	Martin Rosema	NA	Jona De Jong	NA	951
70823	BO42	Behaviour and Opinion	Political Participation and turn-out	Martin Rosema	NA	Jona De Jong	NA	1378
70823	BO42	Behaviour and Opinion	Political Participation and turn-out	Martin Rosema	NA	Jona De Jong	NA	1694
70822	BO41	Behaviour and Opinion	Polarizing parties, polarizing voters	Guido Tiemann	Institute for Advanced StudieInstitute for Advanced Studies	Andres Reiljan	NA	375
70822	BO41	Behaviour and Opinion	Polarizing parties, polarizing voters	Guido Tiemann	Institute for Advanced StudieInstitute for Advanced Studies	Andres Reiljan	NA	1431
70822	BO41	Behaviour and Opinion	Polarizing parties, polarizing voters	Guido Tiemann	Institute for Advanced StudieInstitute for Advanced Studies	Andres Reiljan	NA	1615
70822	BO41	Behaviour and Opinion	Polarizing parties, polarizing voters	Guido Tiemann	Institute for Advanced StudieInstitute for Advanced Studies	Andres Reiljan	NA	1643
70822	BO41	Behaviour and Opinion	Polarizing parties, polarizing voters	Guido Tiemann	Institute for Advanced StudieInstitute for Advanced Studies	Andres Reiljan	NA	1948
70821	BO40	Behaviour and Opinion	Elite and public opinion	Timothy Hellwig	Indiana University, USA	Giorgio Malet	University of Zurich, Switzerland	612
70821	BO40	Behaviour and Opinion	Elite and public opinion	Timothy Hellwig	Indiana University, USA	Giorgio Malet	University of Zurich, Switzerland	1161
70821	BO40	Behaviour and Opinion	Elite and public opinion	Timothy Hellwig	Indiana University, USA	Giorgio Malet	University of Zurich, Switzerland	1746
70821	BO40	Behaviour and Opinion	Elite and public opinion	Timothy Hellwig	Indiana University, USA	Giorgio Malet	University of Zurich, Switzerland	1774
70820	BO39	Behaviour and Opinion	Perceptions of Inequality and Political Behaviour	Laurits Aarslew	NA	Elisa Volpi	NA	460
70820	BO39	Behaviour and Opinion	Perceptions of Inequality and Political Behaviour	Laurits Aarslew	NA	Elisa Volpi	NA	563
70820	BO39	Behaviour and Opinion	Perceptions of Inequality and Political Behaviour	Laurits Aarslew	NA	Elisa Volpi	NA	925
70820	BO39	Behaviour and Opinion	Perceptions of Inequality and Political Behaviour	Laurits Aarslew	NA	Elisa Volpi	NA	992
70819	BO38	Behaviour and Opinion	Perceived discrimination of minority groups	Stuart Turnbull-Dugarte	NA	Asli Unan	NA	607
70819	BO38	Behaviour and Opinion	Perceived discrimination of minority groups	Stuart Turnbull-Dugarte	NA	Asli Unan	NA	1504
70819	BO38	Behaviour and Opinion	Perceived discrimination of minority groups	Stuart Turnbull-Dugarte	NA	Asli Unan	NA	2035
70819	BO38	Behaviour and Opinion	Perceived discrimination of minority groups	Stuart Turnbull-Dugarte	NA	Asli Unan	NA	930
70818	BO37	Behaviour and Opinion	Party Positions and Voter Alignment	Reto Mitteregger	University of Zurich, Switzerland	Alina Vranceanu	NA	290
70818	BO37	Behaviour and Opinion	Party Positions and Voter Alignment	Reto Mitteregger	University of Zurich, Switzerland	Alina Vranceanu	NA	835
70818	BO37	Behaviour and Opinion	Party Positions and Voter Alignment	Reto Mitteregger	University of Zurich, Switzerland	Alina Vranceanu	NA	1300
70818	BO37	Behaviour and Opinion	Party Positions and Voter Alignment	Reto Mitteregger	University of Zurich, Switzerland	Alina Vranceanu	NA	679
70817	BO36	Behaviour and Opinion	Online communication and hate speech in polarized societies	Jack Blumenau	NA	Emma Hoes	NA	493
70817	BO36	Behaviour and Opinion	Online communication and hate speech in polarized societies	Jack Blumenau	NA	Emma Hoes	NA	988
70817	BO36	Behaviour and Opinion	Online communication and hate speech in polarized societies	Jack Blumenau	NA	Emma Hoes	NA	1018
70817	BO36	Behaviour and Opinion	Online communication and hate speech in polarized societies	Jack Blumenau	NA	Emma Hoes	NA	1523
70816	BO35	Behaviour and Opinion	New approaches to political trust	NA	NA	Rasmus Pedersen	NA	491
70816	BO35	Behaviour and Opinion	New approaches to political trust	NA	NA	Rasmus Pedersen	NA	892
70816	BO35	Behaviour and Opinion	New approaches to political trust	NA	NA	Rasmus Pedersen	NA	1264
70816	BO35	Behaviour and Opinion	New approaches to political trust	NA	NA	Rasmus Pedersen	NA	1580
70816	BO35	Behaviour and Opinion	New approaches to political trust	NA	NA	Rasmus Pedersen	NA	1914
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	223
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	228
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	471
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	1275
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	1750
70815	BO34	Behaviour and Opinion	Morality and Polarization	Jae-Hee Jung	NA	Jae-Hee Jung	NA	1080
70814	BO33	Behaviour and Opinion	Mobilization on the contemporary cleavage	Delia Zollinger	University of Zurich, Switzerland	Sascha Riaz	NA	398
70814	BO33	Behaviour and Opinion	Mobilization on the contemporary cleavage	Delia Zollinger	University of Zurich, Switzerland	Sascha Riaz	NA	429
70814	BO33	Behaviour and Opinion	Mobilization on the contemporary cleavage	Delia Zollinger	University of Zurich, Switzerland	Sascha Riaz	NA	638
70814	BO33	Behaviour and Opinion	Mobilization on the contemporary cleavage	Delia Zollinger	University of Zurich, Switzerland	Sascha Riaz	NA	727
70814	BO33	Behaviour and Opinion	Mobilization on the contemporary cleavage	Delia Zollinger	University of Zurich, Switzerland	Sascha Riaz	NA	1204
70813	BO32	Behaviour and Opinion	Media effects on attitudes	Kevin Arceneaux	NA	Judith Spirig	NA	123
70813	BO32	Behaviour and Opinion	Media effects on attitudes	Kevin Arceneaux	NA	Judith Spirig	NA	1292
70813	BO32	Behaviour and Opinion	Media effects on attitudes	Kevin Arceneaux	NA	Judith Spirig	NA	1377
70813	BO32	Behaviour and Opinion	Media effects on attitudes	Kevin Arceneaux	NA	Judith Spirig	NA	1766
70813	BO32	Behaviour and Opinion	Media effects on attitudes	Kevin Arceneaux	NA	Judith Spirig	NA	2011
70812	BO31	Behaviour and Opinion	Local context and (radical right) voting behaviour	Tarik Abou-Chadi	University of Oxford, United Kingdom	Tom O'Grady	University College London, United Kingdom	156
70812	BO31	Behaviour and Opinion	Local context and (radical right) voting behaviour	Tarik Abou-Chadi	University of Oxford, United Kingdom	Tom O'Grady	University College London, United Kingdom	1048
70812	BO31	Behaviour and Opinion	Local context and (radical right) voting behaviour	Tarik Abou-Chadi	University of Oxford, United Kingdom	Tom O'Grady	University College London, United Kingdom	1545
70812	BO31	Behaviour and Opinion	Local context and (radical right) voting behaviour	Tarik Abou-Chadi	University of Oxford, United Kingdom	Tom O'Grady	University College London, United Kingdom	1950
70811	BO30	Behaviour and Opinion	Is the journey more important than the destination?	Richard Traunmueller	NA	Raluca Pahontu	NA	601
70811	BO30	Behaviour and Opinion	Is the journey more important than the destination?	Richard Traunmueller	NA	Raluca Pahontu	NA	776
70811	BO30	Behaviour and Opinion	Is the journey more important than the destination?	Richard Traunmueller	NA	Raluca Pahontu	NA	1072
70811	BO30	Behaviour and Opinion	Is the journey more important than the destination?	Richard Traunmueller	NA	Raluca Pahontu	NA	1152
70811	BO30	Behaviour and Opinion	Is the journey more important than the destination?	Richard Traunmueller	NA	Raluca Pahontu	NA	1299
70810	BO29	Behaviour and Opinion	Intergenerational politics	Theresa Kuhn	University of Amsterdam, Netherlands	David Medina Rodríguez	University of Malaga, Spain	211
70810	BO29	Behaviour and Opinion	Intergenerational politics	Theresa Kuhn	University of Amsterdam, Netherlands	David Medina Rodríguez	University of Malaga, Spain	1000
70810	BO29	Behaviour and Opinion	Intergenerational politics	Theresa Kuhn	University of Amsterdam, Netherlands	David Medina Rodríguez	University of Malaga, Spain	1579
70810	BO29	Behaviour and Opinion	Intergenerational politics	Theresa Kuhn	University of Amsterdam, Netherlands	David Medina Rodríguez	University of Malaga, Spain	1
70809	BO28	Behaviour and Opinion	Identity formation under duress	Eline de Rooij	Canada	Delia Zollinger	University of Zurich, Switzerland	17
70809	BO28	Behaviour and Opinion	Identity formation under duress	Eline de Rooij	Canada	Delia Zollinger	University of Zurich, Switzerland	674
