author	affiliation	abstract_id	role	session_id	presenter
Jan Freihardt	ETH Zürich, Switzerland	1488	p	NA	y
Jan Freihardt	ETH Zürich, Switzerland	1469	p	NA	n
Jan Freihardt	ETH Zürich, Switzerland	NA	c	70825	NA
Roberto Valli	ETH Zürich, Switzerland	1882	p	NA	n
Roberto Valli	ETH Zürich, Switzerland	1505	p	NA	y
Roberto Valli	ETH Zürich, Switzerland	NA	c	70795	NA
Ronja Sczepanski	ETH Zürich, Switzerland	671	p	NA	y
Ronja Sczepanski	ETH Zürich, Switzerland	646	p	NA	y
Ronja Sczepanski	ETH Zürich, Switzerland	1131	p	NA	n
Ronja Sczepanski	ETH Zürich, Switzerland	1087	p	NA	n
Ronja Sczepanski	ETH Zürich, Switzerland	NA	c	70582	NA
Sarah Gomm	ETH Zürich, Switzerland	1476	p	NA	y
Sarah Gomm	ETH Zürich, Switzerland	NA	c	70798	NA
Sven Hegewald	ETH Zürich, Switzerland	892	p	NA	y
Sven Hegewald	ETH Zürich, Switzerland	75	p	NA	y
Sven Hegewald	ETH Zürich, Switzerland	1545	p	NA	n
Thomas Bernauer	ETH Zürich, Switzerland	954	p	NA	y
Thomas Bernauer	ETH Zürich, Switzerland	661	p	NA	n
Thomas Bernauer	ETH Zürich, Switzerland	1528	p	NA	n
Thomas Bernauer	ETH Zürich, Switzerland	1385	p	NA	n
Thomas Bernauer	ETH Zürich, Switzerland	1363	p	NA	n
Thomas Bernauer	ETH Zürich, Switzerland	NA	c	53517	NA
Vally Koubi	ETH Zürich, Switzerland	1492	p	NA	n
Vally Koubi	ETH Zürich, Switzerland	1488	p	NA	n
Vally Koubi	ETH Zürich, Switzerland	1469	p	NA	y
Vally Koubi	ETH Zürich, Switzerland	1227	p	NA	n
Elias Dinas	European University Institute, Italy	867	p	NA	n
Elias Dinas	European University Institute, Italy	1812	p	NA	n
Elias Dinas	European University Institute, Italy	NA	d	70612	NA
Elias Dinas	European University Institute, Italy	NA	d	70730	NA
Jonne Kamphorst	European University Institute, Italy	841	p	NA	n
Jonne Kamphorst	European University Institute, Italy	655	p	NA	y
Jonne Kamphorst	European University Institute, Italy	642	p	NA	y
Jonne Kamphorst	European University Institute, Italy	398	p	NA	y
Kasia Nalewajko	European University Institute, Italy && Universidad Carlos III de Madrid, Spain	2048	p	NA	y
Kasia Nalewajko	European University Institute, Italy && Universidad Carlos III de Madrid, Spain	1441	p	NA	y
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	809	p	NA	n
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	398	p	NA	n
Gary Marks	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	1198	p	NA	n
Liesbet Hooghe	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	809	p	NA	n
Liesbet Hooghe	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	398	p	NA	y
Liesbet Hooghe	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	1198	p	NA	y
Liesbet Hooghe	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	NA	d	70601	NA
Liesbet Hooghe	European University Institute, Italy && University of North Carolina at Chapel Hill, USA	NA	d	70799	NA
Theresa Gessler	European University Viadrina, Germany	339	p	NA	n
Theresa Gessler	European University Viadrina, Germany	1589	p	NA	y
Theresa Gessler	European University Viadrina, Germany	1230	p	NA	y
Theresa Gessler	European University Viadrina, Germany	NA	d	70795	NA
Filip Milacic	Friedrich Ebert Foundation && Democracy Institute, CEU, Austria	405	p	NA	y
Filip Milacic	Friedrich Ebert Foundation && Democracy Institute, CEU, Austria	NA	d	70796	NA
Andreas Kotsadam	Frisch Centre, Norway	717	p	NA	n
Andreas Kotsadam	Frisch Centre, Norway	1909	p	NA	n
Erik Voeten	Georgetown University, USA	847	p	NA	n
Erik Voeten	Georgetown University, USA	499	p	NA	y
Erik Voeten	Georgetown University, USA	NA	c	53509	NA
Erik Voeten	Georgetown University, USA	NA	d	53509	NA
Ryan Carlin	Georgia State University, USA	410	p	NA	n
Ryan Carlin	Georgia State University, USA	1009	p	NA	n
Jan Schwalbach	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	730	p	NA	y
Jan Schwalbach	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1971	p	NA	y
Jan Schwalbach	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	NA	c	53625	NA
L. Constantin Wurthmann	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1821	p	NA	y
L. Constantin Wurthmann	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1773	p	NA	y
Marius Sältzer	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1821	p	NA	n
Marius Sältzer	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1802	p	NA	y
Marius Sältzer	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1773	p	NA	y
Marius Sältzer	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1265	p	NA	n
Marius Sältzer	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	NA	c	70790	NA
Antonia Lang	Goethe University Frankfurt am Main, Germany	237	p	NA	y
Antonia Lang	Goethe University Frankfurt am Main, Germany	232	p	NA	y
Sigrid Roßteutscher	Goethe University Frankfurt am Main, Germany	232	p	NA	y
Sigrid Roßteutscher	Goethe University Frankfurt am Main, Germany	NA	d	70594	NA
Gefjon Off	University of Gothenburg, Sweden	48	p	NA	y
Gefjon Off	University of Gothenburg, Sweden	1258	p	NA	y
Gefjon Off	University of Gothenburg, Sweden	NA	c	53610	NA
Noam Gidron	Hebrew University of Jerusalem, Israel	1487	p	NA	n
Noam Gidron	Hebrew University of Jerusalem, Israel	1141	p	NA	n
Mark Kayser	Hertie School, Berlin, Germany	683	p	NA	n
Mark Kayser	Hertie School, Berlin, Germany	1413	p	NA	y
Mark Kayser	Hertie School, Berlin, Germany	1048	p	NA	y
Mark Kayser	Hertie School, Berlin, Germany	NA	d	70991	NA
Emily Frank	Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	123	p	NA	y
Emily Frank	Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	121	p	NA	y
Emily Frank	Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	NA	d	53552	NA
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	554	p	NA	y
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1883	p	NA	y
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1844	p	NA	y
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1717	p	NA	n
Andrew Klassen	Humansurveys.org, USA	90	p	NA	n
Asli Unan	Humboldt University Berlin, Germany	873	p	NA	y
Asli Unan	Humboldt University Berlin, Germany	695	p	NA	n
Asli Unan	Humboldt University Berlin, Germany	373	p	NA	y
Asli Unan	Humboldt University Berlin, Germany	1129	p	NA	n
Asli Unan	Humboldt University Berlin, Germany	NA	d	70819	NA
Felix Hartmann	Humboldt University of Berlin, Germany	428	p	NA	y
Felix Hartmann	Humboldt University of Berlin, Germany	1490	p	NA	y
Heike Klüver	Humboldt University of Berlin, Germany	882	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	873	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	695	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	635	p	NA	y
Heike Klüver	Humboldt University of Berlin, Germany	428	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	1594	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	1490	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	1348	p	NA	n
Heike Klüver	Humboldt University of Berlin, Germany	NA	c	70781	NA
Lukas Stoetzer	Humboldt University, Germany && University of Witten/Herdecke, Germany	1906	p	NA	n
Lukas Stoetzer	Humboldt University, Germany && University of Witten/Herdecke, Germany	1594	p	NA	n
Ebru Ece Özbey	IMPRS-SCE, Germany && Max-Planck-Institut für Gesellschaftsforschung, Germany	2048	p	NA	y
Ebru Ece Özbey	IMPRS-SCE, Germany && Max-Planck-Institut für Gesellschaftsforschung, Germany	1709	p	NA	y
Guido Tiemann	Institute for Advanced Studies, Vienna, Austria	1643	p	NA	y
Guido Tiemann	Institute for Advanced Studies, Vienna, Austria	1637	p	NA	y
Guido Tiemann	Institute for Advanced Studies, Vienna, Austria	NA	c	70822	NA
Anne Degrave	Institute for Advanced Study in Toulouse, France	1682	p	NA	y
Anne Degrave	Institute for Advanced Study in Toulouse, France	NA	c	70610	NA
Sebastian Thieme	Institute for Advanced Study in Toulouse, France	1613	p	NA	y
Sebastian Thieme	Institute for Advanced Study in Toulouse, France	1061	p	NA	n
Sebastian Thieme	Institute for Advanced Study in Toulouse, France	NA	d	70803	NA
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	995	p	NA	y
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	632	p	NA	y
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	1253	p	NA	y
Felicia Riethmüller	Institute for Democracy Research (IfDem), University of Göttingen, Germany	NA	d	70581	NA
David Beck	Institute for Political Science, University of Bamberg, Germany	1873	p	NA	y
David Beck	Institute for Political Science, University of Bamberg, Germany	1276	p	NA	y
Mads Thau	Institute for Social Research Oslo, Norway	870	p	NA	y
Mads Thau	Institute for Social Research Oslo, Norway	1018	p	NA	y
Mads Thau	Institute for Social Research Oslo, Norway	NA	d	53601	NA
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	901	p	NA	y
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	639	p	NA	y
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	1148	p	NA	y
Francesc Amat	IPERG, Universitat Autònoma de Barcelona, Spain	NA	d	70791	NA
Sofia Vasilopoulou	King's College London, United Kingdom	727	p	NA	n
Sofia Vasilopoulou	King's College London, United Kingdom	697	p	NA	y
Anne Rasmussen	Kings College London, United Kingdom	1831	p	NA	n
Anne Rasmussen	Kings College London, United Kingdom	1825	p	NA	n
Damien Bol	Kings College London, United Kingdom	90	p	NA	y
Damien Bol	Kings College London, United Kingdom	1847	p	NA	n
Damien Bol	Kings College London, United Kingdom	172	p	NA	y
Damien Bol	Kings College London, United Kingdom	NA	d	70725	NA
Damien Bol	Kings College London, United Kingdom	NA	c	70794	NA
Damien Bol	Kings College London, United Kingdom	NA	c	70992	NA
Paul Thurner	LMU Munich, Germany	1551	p	NA	y
Paul Thurner	LMU Munich, Germany	1462	p	NA	n
Boram Lee	London School of Economics and Political Science, United Kingdom	227	p	NA	y
Boram Lee	London School of Economics and Political Science, United Kingdom	NA	c	53507	NA
Christopher Anderson	London School of Economics and Political Science, United Kingdom	4	p	NA	n
Christopher Anderson	London School of Economics and Political Science, United Kingdom	1847	p	NA	n
Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	598	p	NA	n
Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	1512	p	NA	n
Elliott Green	London School of Economics and Political Science, United Kingdom	261	p	NA	y
Elliott Green	London School of Economics and Political Science, United Kingdom	NA	d	70618	NA
James Morrison	London School of Economics and Political Science, United Kingdom	1470	p	NA	y
James Morrison	London School of Economics and Political Science, United Kingdom	NA	d	53491	NA
Kenneth Benoit	London School of Economics and Political Science, United Kingdom	NA	c	70571	NA
Kenneth Benoit	London School of Economics and Political Science, United Kingdom	NA	d	70571	NA
Kenneth Benoit	London School of Economics and Political Science, United Kingdom	NA	d	70580	NA
Liam Beiser-McGrath	London School of Economics and Political Science, United Kingdom	1765	p	NA	y
Liam Beiser-McGrath	London School of Economics and Political Science, United Kingdom	NA	d	70992	NA
Mathias Poertner	London School of Economics and Political Science, United Kingdom	1721	p	NA	y
Mathias Poertner	London School of Economics and Political Science, United Kingdom	1720	p	NA	y
Mathias Poertner	London School of Economics and Political Science, United Kingdom	NA	c	53612	NA
Mathias Poertner	London School of Economics and Political Science, United Kingdom	NA	d	70589	NA
Ryan Jablonski	London School of Economics and Political Science, United Kingdom	921	p	NA	y
Ryan Jablonski	London School of Economics and Political Science, United Kingdom	NA	c	53485	NA
Sara B. Hobolt	London School of Economics and Political Science, United Kingdom	1359	p	NA	n
Sara B. Hobolt	London School of Economics and Political Science, United Kingdom	1317	p	NA	n
Sara Hobolt	London School of Economics and Political Science, United Kingdom	873	p	NA	n
Sara Hobolt	London School of Economics and Political Science, United Kingdom	782	p	NA	y
Sara Hobolt	London School of Economics and Political Science, United Kingdom	50	p	NA	n
Sara Hobolt	London School of Economics and Political Science, United Kingdom	239	p	NA	y
Sara Hobolt	London School of Economics and Political Science, United Kingdom	NA	d	70781	NA
Theresa Squatrito	London School of Economics and Political Science, United Kingdom	258	p	NA	y
Theresa Squatrito	London School of Economics and Political Science, United Kingdom	1335	p	NA	y
Thomas Robinson	London School of Economics and Political Science, United Kingdom	2042	p	NA	n
Thomas Robinson	London School of Economics and Political Science, United Kingdom	1003	p	NA	y
Zachary Dickson	London School of Economics and Political Science, United Kingdom	693	p	NA	n
Zachary Dickson	London School of Economics and Political Science, United Kingdom	NA	c	53601	NA
Alexander Wuttke	Ludwig Maximilian University of Munich, Germany && University of Munich, Germany	717	p	NA	y
Alexander Wuttke	Ludwig Maximilian University of Munich, Germany && University of Munich, Germany	1909	p	NA	n
Eva Wegner	Marburg University, Germany	2023	p	NA	n
Eva Wegner	Marburg University, Germany	2022	p	NA	y
Volha Charnysh	Massachusetts Institute of Technology, USA	855	p	NA	y
Volha Charnysh	Massachusetts Institute of Technology, USA	1035	p	NA	n
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1921	p	NA	n
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1872	p	NA	y
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	1848	p	NA	y
Björn Bremer	Max Planck Institute for the Study of Societies, Germany	NA	c	70561	NA
Ruben Bach	MZES - University of Mannheim, Germany	1767	p	NA	n
Ruben Bach	MZES - University of Mannheim, Germany	1691	p	NA	n
Ricardo Massa	National Laboratory of Public Policy, Centro de Investigacion y Docencia Economicas (CIDE), Mexico	909	p	NA	n
Leonid Peisakhin	New York University - Abu Dhabi, UAE	401	p	NA	y
Leonid Peisakhin	New York University - Abu Dhabi, UAE	1035	p	NA	y
Catherine Hafer	New York University, USA	2045	p	NA	y
Catherine Hafer	New York University, USA	NA	c	53497	NA
Catherine Hafer	New York University, USA	NA	c	53514	NA
Raymond Duch	Nuffield College, University of Oxford, United Kingdom	582	p	NA	n
Raymond Duch	Nuffield College, University of Oxford, United Kingdom	1003	p	NA	n
Raymond Duch	Nuffield College, University of Oxford, United Kingdom	NA	d	53564	NA
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	867	p	NA	n
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	491	p	NA	n
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	438	p	NA	y
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	423	p	NA	y
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	1067	p	NA	n
Vicente Valentim	Nuffield College, University of Oxford, United Kingdom	NA	c	70807	NA
Øyvind Skorge	Oslo New University College, Norway	1713	p	NA	n
Øyvind Skorge	Oslo New University College, Norway	NA	d	70568	NA
Giuliano Formisano	Oxford Internet Institute, University of Oxford, United Kingdom	992	p	NA	y
Giuliano Formisano	Oxford Internet Institute, University of Oxford, United Kingdom	1856	p	NA	y
Sebastian Schutte	Peace Research Institute Oslo (PRIO), Norway	950	p	NA	n
Sebastian Schutte	Peace Research Institute Oslo (PRIO), Norway	526	p	NA	y
Sebastian Schutte	Peace Research Institute Oslo (PRIO), Norway	NA	c	70688	NA
Sebastian Schutte	Peace Research Institute Oslo (PRIO), Norway	NA	d	70688	NA
Kevin Munger	Penn State, USA	481	p	NA	y
Kevin Munger	Penn State, USA	NA	d	70572	NA
Sona Golder	Pennsylvania State University, USA	1473	p	NA	n
Sona Golder	Pennsylvania State University, USA	1058	p	NA	n
Leticia Barbabela	Philipps-Universität Marburg, Germany	2023	p	NA	y
Leticia Barbabela	Philipps-Universität Marburg, Germany	2022	p	NA	n
Leticia Barbabela	Philipps-Universität Marburg, Germany	NA	c	71286	NA
Toni Rodon	Pompeu Fabra University, Spain	990	p	NA	y
Toni Rodon	Pompeu Fabra University, Spain	873	p	NA	n
Toni Rodon	Pompeu Fabra University, Spain	698	p	NA	y
Toni Rodon	Pompeu Fabra University, Spain	695	p	NA	y
Toni Rodon	Pompeu Fabra University, Spain	219	p	NA	y
Toni Rodon	Pompeu Fabra University, Spain	1359	p	NA	n
Toni Rodon	Pompeu Fabra University, Spain	1129	p	NA	n
Toni Rodon	Pompeu Fabra University, Spain	1013	p	NA	y
Toni Rodon	Pompeu Fabra University, Spain	NA	d	70578	NA
Toni Rodon	Pompeu Fabra University, Spain	NA	d	70585	NA
Toni Rodon	Pompeu Fabra University, Spain	NA	d	70706	NA
Thomas Tichelbaecker	Princeton University, USA	1699	p	NA	n
Thomas Tichelbaecker	Princeton University, USA	1487	p	NA	y
Thomas Tichelbaecker	Princeton University, USA	1141	p	NA	n
Maurits Meijers	Radboud University, Netherlands	1183	p	NA	n
Maurits Meijers	Radboud University, Netherlands	1009	p	NA	n
Silvia Pianta	RFF-CMCC European Institute on Economics and the Environment, Italy && European University Institute, Italy	659	p	NA	y
Silvia Pianta	RFF-CMCC European Institute on Economics and the Environment, Italy && European University Institute, Italy	1751	p	NA	y
Silvia Pianta	RFF-CMCC European Institute on Economics and the Environment, Italy && European University Institute, Italy	NA	d	70709	NA
Silvia Pianta	RFF-CMCC European Institute on Economics and the Environment, Italy && European University Institute, Italy	NA	c	70846	NA
Katharina Lawall	Royal Holloway/University of London, United Kingdom	239	p	NA	n
Katharina Lawall	Royal Holloway/University of London, United Kingdom	1611	p	NA	y
Katharina Lawall	Royal Holloway/University of London, United Kingdom	NA	d	70851	NA
Tolga Sinmazdemir	School of Oriental and African Studies, United Kingdom	598	p	NA	n
Tolga Sinmazdemir	School of Oriental and African Studies, United Kingdom	1512	p	NA	y
Martial Foucault	Science Po Paris, France	1694	p	NA	n
Martial Foucault	Science Po Paris, France	1267	p	NA	n
Martial Foucault	Science Po Paris, France	124	p	NA	n
Emiliano Grossman	Sciences Po / CEE, France	1990	p	NA	y
Emiliano Grossman	Sciences Po / CEE, France	1553	p	NA	y
Eline de Rooij	Simon Fraser University, Canada	1174	p	NA	y
Eline de Rooij	Simon Fraser University, Canada	NA	c	70809	NA
Sirus Dehdari	Stockholm University, Sweden	850	p	NA	y
Sirus Dehdari	Stockholm University, Sweden	NA	d	53592	NA
Sirus Dehdari	Stockholm University, Sweden	NA	c	70779	NA
Selina Hofstetter	Tecnologico de Monterrey, Mexico	627	p	NA	n
Selina Hofstetter	Tecnologico de Monterrey, Mexico	590	p	NA	n
Selina Hofstetter	Tecnologico de Monterrey, Mexico	1423	p	NA	y
Selina Hofstetter	Tecnologico de Monterrey, Mexico	NA	c	70725	NA
Alexandra Guisinger	Temple University, USA	604	p	NA	n
Alexandra Guisinger	Temple University, USA	1774	p	NA	y
Vered Porzycki	Hebrew University of Jerusalem, Israel	282	p	NA	y
Vered Porzycki	Hebrew University of Jerusalem, Israel	110	p	NA	y
Gail McElroy	Trinity College Dublin, Ireland	539	p	NA	n
Gail McElroy	Trinity College Dublin, Ireland	NA	c	53504	NA
Gail McElroy	Trinity College Dublin, Ireland	NA	d	53523	NA
Niloufer Siddiqui	University of Albany, USA	454	p	NA	y
Darrell Driver	U.S. Army War College, USA	210	p	NA	y
Ignacio Jurado	Universidad Carlos III de Madrid, Spain	1933	p	NA	y
Ignacio Jurado	Universidad Carlos III de Madrid, Spain	1818	p	NA	y
Ignacio Jurado	Universidad Carlos III de Madrid, Spain	NA	c	70839	NA
Riccardo Di Leo	Universidad Carlos III de Madrid, Spain && Carlos III-Juan March Institute, Spain	901	p	NA	y
Riccardo Di Leo	Universidad Carlos III de Madrid, Spain && Carlos III-Juan March Institute, Spain	301	p	NA	y
Riccardo Di Leo	Universidad Carlos III de Madrid, Spain && Carlos III-Juan March Institute, Spain	197	p	NA	y
Fedra Negri	Università degli Studi di Milano - Bicocca, Italy	795	p	NA	y
Fedra Negri	Università degli Studi di Milano - Bicocca, Italy	1075	p	NA	y
Andrea Ceron	Università degli Studi di Milano, Italy	1106	p	NA	y
Andrea Ceron	Università degli Studi di Milano, Italy	NA	d	70577	NA
Silvia Decadri	Università degli Studi di Milano, Italy	795	p	NA	y
Silvia Decadri	Università degli Studi di Milano, Italy	1075	p	NA	n
Silvia Decadri	Università degli Studi di Milano, Italy	NA	d	53556	NA
Valerio Vignoli	Università degli Studi di Milano, Italy	801	p	NA	y
Valerio Vignoli	Università degli Studi di Milano, Italy	272	p	NA	y
Carol Galais	Universitat Autònoma de Barcelona, Spain	946	p	NA	n
Carol Galais	Universitat Autònoma de Barcelona, Spain	607	p	NA	n
Daniel Favre	Universitat Autònoma de Barcelona, Spain	1945	p	NA	n
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	999	p	NA	n
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	946	p	NA	n
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	677	p	NA	y
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	607	p	NA	y
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	1421	p	NA	n
Enrique Hernández	Universitat Autònoma de Barcelona, Spain	NA	c	70616	NA
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	946	p	NA	n
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1401	p	NA	y
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1258	p	NA	y
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	1254	p	NA	y
Eva Anduiza	Universitat Autònoma de Barcelona, Spain	NA	c	70805	NA
Guillem Rico	Universitat Autònoma de Barcelona, Spain	1421	p	NA	y
Guillem Rico	Universitat Autònoma de Barcelona, Spain	1045	p	NA	y
Gabriele Spilker	University of Konstanz, Germany	961	p	NA	y
Gabriele Spilker	University of Konstanz, Germany	211	p	NA	n
Gabriele Spilker	University of Konstanz, Germany	1227	p	NA	y
Gabriele Spilker	University of Konstanz, Germany	NA	d	70565	NA
Joaquín Rozas-Bugueño	Universitat Pompeu Fabra, Spain	219	p	NA	y
Joaquín Rozas-Bugueño	Universitat Pompeu Fabra, Spain	1881	p	NA	n
