author	affiliation	abstract_id
Guido Panzano	Université Libre de Bruxelles, Belgium	1347
Guido Tiemann	Institute for Advanced Studies, Vienna, Austria	1637
Guido Tiemann	Institute for Advanced Studies, Vienna, Austria	1643
Guillem Rico	Universitat Autònoma de Barcelona, Spain	1045
Guillem Rico	Universitat Autònoma de Barcelona, Spain	1421
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	553
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	1087
Hauke Licht	Cologne Center for Comparative Politics, University of Cologne, Germany	972
Heike Klüver	Humboldt University of Berlin, Germany	695
Heike Klüver	Humboldt University of Berlin, Germany	1348
Heike Klüver	Humboldt University of Berlin, Germany	1490
Heike Klüver	Humboldt University of Berlin, Germany	882
Heike Klüver	Humboldt University of Berlin, Germany	428
Heike Klüver	Humboldt University of Berlin, Germany	635
Heike Klüver	Humboldt University of Berlin, Germany	873
Heike Klüver	Humboldt University of Berlin, Germany	1594
Ignacio Jurado	Universidad Carlos III de Madrid, Spain	1818
Ignacio Jurado	Universidad Carlos III de Madrid, Spain	1933
Indridi Indridason	University of California Riverside, USA	1903
Indridi Indridason	University of California Riverside, USA	1906
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	1553
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	286
Isabelle Guinaudeau	CEE, Sciences Po, France && Sciences Po Bordeaux, France	356
James Morrison	London School of Economics and Political Science, United Kingdom	1470
Jan Freihardt	ETH Zürich, Switzerland	1492
Jan Freihardt	ETH Zürich, Switzerland	1469
Jan Freihardt	ETH Zürich, Switzerland	1488
Jan Freihardt	ETH Zürich, Switzerland	954
Jan Menzner	University of Mannheim, Germany	1523
Jan Menzner	University of Mannheim, Germany	1483
Jan Schwalbach	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	1971
Jan Schwalbach	GESIS – Leibniz Institute for the Social Sciences, Cologne, Germany	730
Janne Tukiainen	University of Turku, Finland	783
Janne Tukiainen	University of Turku, Finland	313
Janne Tukiainen	University of Turku, Finland	649
Janne Tukiainen	University of Turku, Finland	828
Jean-Benoit Pilet	Université Libre de Bruxelles, Belgium	1390
Jean-Benoit Pilet	Université Libre de Bruxelles, Belgium	634
Jihed Ncib	University College, Dublin, Ireland	539
Jihed Ncib	University College, Dublin, Ireland	1626
Joaquín Rozas-Bugueño	Universitat Pompeu Fabra, Spain	219
Joaquín Rozas-Bugueño	Universitat Pompeu Fabra, Spain	1881
Jona de Jong	European University Institute, Italy. European University Institute, Netherlands	846
Jona de Jong	European University Institute, Italy. European University Institute, Netherlands	841
Jonne Kamphorst	European University Institute, Italy. European university institute, Italy	655
Jonne Kamphorst	European University Institute, Italy. European university institute, Italy	398
Jonne Kamphorst	European University Institute, Italy. European university institute, Italy	642
Jonne Kamphorst	European University Institute, Italy. European university institute, Italy	841
Josep Maria Comellas	Universitat Pompeu Fabra, Spain. Universitat Pompeu Fabra,, Spain	1754
João Areal	University of Mannhein, Germany. University of Mannheim, Germany	1523
João Areal	University of Mannhein, Germany. University of Mannheim, Germany	1691
Ju Yeon Park	University of Essex, United Kingdom. Essex, United Kingdom	250
Ju Yeon Park	University of Essex, United Kingdom. Essex, United Kingdom	1793
Kasia Nalewajko	European University Institute, Italy. Universidad Carlos III de Madrid, Spain	1441
Kasia Nalewajko	European University Institute, Italy. Universidad Carlos III de Madrid, Spain	2048
Katharina Lawall	University of London/Royal Holloway, United Kingdom. Royal Holloway/University of London, United Kingdom	239
Katharina Lawall	University of London/Royal Holloway, United Kingdom. Royal Holloway/University of London, United Kingdom	1611
Kevin Munger	Penn State, USA. Penn State,, USA	481
Konstantin Vössing	City, University of London, United Kingdom. City University of London, United Kingdom	2012
Konstantin Vössing	City, University of London, United Kingdom. City University of London, United Kingdom	1787
Kristina Aleksandrovna Pedersen	University of Copenhagen, Department of Political Science, Denmark. University of Copenhagen, Denmark	1292
Kristina Aleksandrovna Pedersen	University of Copenhagen, Department of Political Science, Denmark. University of Copenhagen, Denmark	1392
L. Constantin Wurthmann	GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1773
L. Constantin Wurthmann	GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1821
Lena Maria Huber	University of Vienna, Austria. MZES, University of Mannheim, Germany	959
Lena Maria Huber	University of Vienna, Austria. MZES, University of Mannheim, Germany	209
Lena Maria Huber	University of Vienna, Austria. MZES, University of Mannheim, Germany	246
Leonid Peisakhin	New York University - Abu Dhabi, UAE. NYU Abu Dhabi, UAE	401
Leonid Peisakhin	New York University - Abu Dhabi, UAE. NYU Abu Dhabi, UAE	1035
Leticia Barbabela	Marburg University, Germany. Philipps-Universität Marburg, Germany	2022
Leticia Barbabela	Marburg University, Germany. Philipps-Universität Marburg, Germany	2023
Liam Beiser-McGrath	London School of Economics and Political Science, United Kingdom. London School of Economics, United Kingdom	1765
Liesbet Hooghe	European University Institute, Italy. University of North Carolina at Chapel Hill, USA. University of North Carolina, USA	1198
Liesbet Hooghe	European University Institute, Italy. University of North Carolina at Chapel Hill, USA. University of North Carolina, USA	398
Liesbet Hooghe	European University Institute, Italy. University of North Carolina at Chapel Hill, USA. University of North Carolina, USA	809
Lise Rakner	University of Bergen, Norway. Chr. Michelsens Institute, Norway	1180
Lise Rakner	University of Bergen, Norway. Chr. Michelsens Institute, Norway	448
Lise Rakner	University of Bergen, Norway. Chr. Michelsens Institute, Norway	926
Luca Versteegen	University of Gothenburg, Sweden. Gothenburg University, Sweden	324
Luca Versteegen	University of Gothenburg, Sweden. Gothenburg University, Sweden	97
Lukas Stoetzer	Humboldt University, Germany. University of Witten/Herdecke, Germany	1906
Lukas Stoetzer	Humboldt University, Germany. University of Witten/Herdecke, Germany	1594
Macarena Ares	University of Barcelona, Spain. Universitat de Barcelona, Spain	601
Macarena Ares	University of Barcelona, Spain. Universitat de Barcelona, Spain	677
Macarena Ares	University of Barcelona, Spain. Universitat de Barcelona, Spain	1218
Mads Thau	Institute for Social Research Oslo, Norway. Institute for Social Research, Norway	1018
Mads Thau	Institute for Social Research Oslo, Norway. Institute for Social Research, Norway	870
Marco Nicola Binetti	Center for Crisis Early Warning - Universität der Bundeswehr München, Germany. Universität der Bundeswehr München - CISS, Germany	134
Marco Nicola Binetti	Center for Crisis Early Warning - Universität der Bundeswehr München, Germany. Universität der Bundeswehr München - CISS, Germany	320
Marco Pastor Mayo	University of Oxford, Spain. University of Barcelona, Spain	654
Marco Pastor Mayo	University of Oxford, Spain. University of Barcelona, Spain	1148
Mariana Carvalho	Brown University, USA. UCSD, USA	472
Marine Casalis	ETH-Zurich, Switzerland. ETH Zurich, Switzerland	1840
Marine Casalis	ETH-Zurich, Switzerland. ETH Zurich, Switzerland	1634
Marius Sältzer	Gesis Institute for the Social Sciences Mannheim, Germany. GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1265
Marius Sältzer	Gesis Institute for the Social Sciences Mannheim, Germany. GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1773
Marius Sältzer	Gesis Institute for the Social Sciences Mannheim, Germany. GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1802
Marius Sältzer	Gesis Institute for the Social Sciences Mannheim, Germany. GESIS – Leibniz Institute for the Social Sciences, Germany. GESIS, Germany	1821
Mark Kayser	Hertie School, Germany. Hertie School, Berlin, Germany	1048
Mark Kayser	Hertie School, Germany. Hertie School, Berlin, Germany	1413
Mark Kayser	Hertie School, Germany. Hertie School, Berlin, Germany	683
Markus Kollberg	University College London (UCL), United Kingdom. University College London, United Kingdom	770
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany. University of Oldenburg, Germany	1809
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany. University of Oldenburg, Germany	1806
Markus Tepe	Carl von Ossietzky Universität Oldenburg, Germany. University of Oldenburg, Germany	1279
Marta Eidheim	University of Bergen, Norway. Univresity of Bergen, Norway	1468
Martial Foucault	Sciences Po, France. Science Po Paris, France	1267
Martial Foucault	Sciences Po, France. Science Po Paris, France	124
Martial Foucault	Sciences Po, France. Science Po Paris, France	1694
Martin Elff	Zeppelin University, Germany. Zeppelin Universität, Germany	1546
Martin Elff	Zeppelin University, Germany. Zeppelin Universität, Germany	550
Martin Elff	Zeppelin University, Germany. Zeppelin Universität, Germany	1554
Massimo Troncone	ETH, Switzerland. ETH Zurich, Switzerland	1814
Massimo Troncone	ETH, Switzerland. ETH Zurich, Switzerland	1505
Mathias Poertner	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom. London School of Economics, United Kingdom	1721
Mathias Poertner	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom. London School of Economics, United Kingdom	1720
Matteo Gamalerio	U. of Barcelona, Spain	1945
Maurits Meijers	Radboud, Netherlands. Radboud University, Netherlands	1009
Maurits Meijers	Radboud, Netherlands. Radboud University, Netherlands	1183
Miceal Canavan	Aarhus, Denmark. Aarhus University, Denmark	1807
Miceal Canavan	Aarhus, Denmark. Aarhus University, Denmark	1717
Nadine O'Shea	Greifswald University, Germany. University of Greifswald, Germany	1297
Nadine O'Shea	Greifswald University, Germany. University of Greifswald, Germany	1851
Niels Bjørn Grund Petersen	The Danish Center for Social Science Research / Aarhus University, Denmark. Danish Center for Social Science Research (VIVE), Denmark	1018
Niels Bjørn Grund Petersen	The Danish Center for Social Science Research / Aarhus University, Denmark. Danish Center for Social Science Research (VIVE), Denmark	870
Niloufer Siddiqui	U. Albany, USA	454
Nils Düpont	CRC 1342, University of Bremen, Germany. University of Bremen, Germany	781
Nils-Christian Bormann	Witten/Herdecke University, Germany. University of Witten/Herdecke, Germany	1312
Nils-Christian Bormann	Witten/Herdecke University, Germany. University of Witten/Herdecke, Germany	785
Noam Gidron	hebrew university of jerusalem, Israel. Hebrew University of Jerusalem, Israel	1487
Noam Gidron	hebrew university of jerusalem, Israel. Hebrew University of Jerusalem, Israel	1141
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	554
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1717
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1883
Oguzhan Turkoglu	Hertie School, Germany. Hertie, Germany	1844
Patrick Bayer	University of Strathclyde, United Kingdom. Strathclyde University, United Kingdom	1355
Patrick Bayer	University of Strathclyde, United Kingdom. Strathclyde University, United Kingdom	1315
Patrick Bayer	University of Strathclyde, United Kingdom. Strathclyde University, United Kingdom	1446
Patrick Bayer	University of Strathclyde, United Kingdom. Strathclyde University, United Kingdom	489
Paul Thurner	LMU Munich, Germany. LMU Munich, Political Science, Germany	1462
Paul Thurner	LMU Munich, Germany. LMU Munich, Political Science, Germany	1551
Pedro Riera	Charles III University of Madrid, Spain. University Carlos III of Madrid, Spain. University Carlos III, Spain	1394
Pedro Riera	Charles III University of Madrid, Spain. University Carlos III of Madrid, Spain. University Carlos III, Spain	1563
Pedro Riera	Charles III University of Madrid, Spain. University Carlos III of Madrid, Spain. University Carlos III, Spain	748
Peter Dinesen	University College London, United Kingdom. University College London and University of Copenhagen, United Kingdom	900
Peter Dinesen	University College London, United Kingdom. University College London and University of Copenhagen, United Kingdom	1281
Philipp Lutscher	University of Oslo (UiO), Norway. University of Oslo, Norway	1210
Philipp Lutz	Vrije Universiteit Amsterdam, Netherlands. VU University Amsterdam, Netherlands	742
Philipp Lutz	Vrije Universiteit Amsterdam, Netherlands. VU University Amsterdam, Netherlands	445
Pola Lehmann	WZB Berlin Social Science Center, Germany. WZB  Berlin Social Science Center, Germany	622
Raymond Duch	University of Oxford, United Kingdom. Nuffield College, University of Oxford, United Kingdom	1003
Raymond Duch	University of Oxford, United Kingdom. Nuffield College, University of Oxford, United Kingdom	582
Regina Goodnow	University of Wisconsin - La Crosse, USA. University of Wisconsin, USA	372
Ricardo Massa	National Laboratory of Public Policy, Centro de Investigacion y Docencia Economicas (CIDE)., Mexico	909
Riccardo Di Leo	Universidad Carlos III and Carlos III-Juan March Institute, Spain. Universidad Carlos III, Spain	301
Riccardo Di Leo	Universidad Carlos III and Carlos III-Juan March Institute, Spain. Universidad Carlos III, Spain	197
Riccardo Di Leo	Universidad Carlos III and Carlos III-Juan March Institute, Spain. Universidad Carlos III, Spain	901
Richard Traunmüller	University of Mannheim, Germany. University of Mannhein, Germany	1523
Richard Traunmüller	University of Mannheim, Germany. University of Mannhein, Germany	1316
Richard Traunmüller	University of Mannheim, Germany. University of Mannhein, Germany	1409
Robert Huber	University of Salzburg, Austria. University of Reading, United Kingdom	1454
Robert Huber	University of Salzburg, Austria. University of Reading, United Kingdom	820
Robert Walker	Atkinson Graduate School of Management, WIllamette University, USA. Willamette University, USA	1961
Roberto Valli	ETH Zürich, Switzerland. ETH Zurich, Switzerland	1882
Roberto Valli	ETH Zürich, Switzerland. ETH Zurich, Switzerland	1505
Romain Lachat	SciencesPo Paris, France. Sciences Po, France. SciencesPo, France	1743
Romain Lachat	SciencesPo Paris, France. Sciences Po, France. SciencesPo, France	1531
Ronja Sczepanski	ETH Zurich, Switzerland. ETH Zürich, Switzerland	671
Ronja Sczepanski	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1087
Ronja Sczepanski	ETH Zurich, Switzerland. ETH Zürich, Switzerland	1131
Ronja Sczepanski	ETH Zurich, Switzerland. ETH Zürich, Switzerland	646
Ruben Bach	University of Mannheim, Germany. MZES, Germany	1767
Ruben Bach	University of Mannheim, Germany. MZES, Germany	1691
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1169
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1574
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1743
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1788
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1766
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	1694
Ruth Dassonneville	University of Montreal, Canada. Université de Montréal, Canada. Universite de Montreal, Canada. Université de Montreal, Canada	809
Ryan Carlin	Georgia State University, USA. Georgia State, USA	1009
Ryan Carlin	Georgia State University, USA. Georgia State, USA	410
Ryan Jablonski	LSE, United Kingdom. London School of Economics, United Kingdom	921
Sara B. Hobolt	London School of Economics and Political Science, United Kingdom. London School of Economics, United Kingdom	1359
Sara B. Hobolt	London School of Economics and Political Science, United Kingdom. London School of Economics, United Kingdom	1317
Sara Hobolt	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	782
Sara Hobolt	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	50
Sara Hobolt	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	239
Sara Hobolt	London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	873
Sarah Gomm	ETH Zurich, Switzerland. University of Zurich, Switzerland	1476
Scott Gates	University of Oslo, Norway. Peace Research Institute Oslo (PRIO), Norway. PRIO, Norway	1529
Scott Gates	University of Oslo, Norway. Peace Research Institute Oslo (PRIO), Norway. PRIO, Norway	1346
Sebastian Ludwicki-Ziegler	Stirling University, United Kingdom. University of Stirling, United Kingdom	693
Sebastian Ludwicki-Ziegler	Stirling University, United Kingdom. University of Stirling, United Kingdom	837
Sebastian Schutte	Peace Research Institute Oslo, Norway. Peace Research Institute Oslo (PRIO), Norway	526
Sebastian Schutte	Peace Research Institute Oslo, Norway. Peace Research Institute Oslo (PRIO), Norway	950
Sebastian Thieme	Institute for Advanced Study Toulouse, France. Institute for Advanced Study in Toulouse, France. institutde. forAdvanced Study, Toulouse, France	1613
Sebastian Thieme	Institute for Advanced Study Toulouse, France. Institute for Advanced Study in Toulouse, France. institutde. forAdvanced Study, Toulouse, France	1061
Sebastien Rojon	Université libre de Bruxelles, Belgium. Université Libre de Bruxelles, Belgium	1390
Sebastien Rojon	Université libre de Bruxelles, Belgium. Université Libre de Bruxelles, Belgium	634
Selina Hofstetter	Tecnol´ogico de Monterrey, Mexico. Tecnologico de Monterrey, Mexico	590
Selina Hofstetter	Tecnol´ogico de Monterrey, Mexico. Tecnologico de Monterrey, Mexico	627
Selina Hofstetter	Tecnol´ogico de Monterrey, Mexico. Tecnologico de Monterrey, Mexico	1423
Semih Cakir	Université de Montréal, Canada. University of Vienna, Austria	1736
Semih Cakir	Université de Montréal, Canada. University of Vienna, Austria	1746
Semih Cakir	Université de Montréal, Canada. University of Vienna, Austria	1766
Sigrid Roßteutscher	Goethe University Frankfurt/Main, Germany. Goethe University Frankfurt am Main, Germany	232
Silvia Decadri	Università degli Studi di Milano (UNIMI), Italy. Università degli Studi di Milano, Italy	795
Silvia Decadri	Università degli Studi di Milano (UNIMI), Italy. Università degli Studi di Milano, Italy	1075
Silvia Pianta	RFF - CMCC European Institute on Economics and the Environment, Italy. RFF-CMCC European Institute on Economics and the Environment & European University Institute, Italy	1751
Silvia Pianta	RFF - CMCC European Institute on Economics and the Environment, Italy. RFF-CMCC European Institute on Economics and the Environment & European University Institute, Italy	659
Simon Hug	Universit of Geneva, Switzerland. University of Geneva, Switzerland	1608
Simon Hug	Universit of Geneva, Switzerland. University of Geneva, Switzerland	1525
Simon T. Franzmann	Department for Democracy Research, University of Goettingen, Germany. University of Goettingen, Germany	632
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	1009
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	1909
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	1428
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	717
Sirianne Dahlum	University of Oslo, Norway. Oslo, Norway	1524
Sirus Dehdari	Stockholm University, Sweden. Stockholm University,, Sweden	850
Sivaram Cheruvu	University of Texas-Dallas, USA. University of Texas at Dallas, USA	798
Sivaram Cheruvu	University of Texas-Dallas, USA. University of Texas at Dallas, USA	1100
Sofia Vasilopoulou	King's College London, United Kingdom. King’s College London, United Kingdom	727
Sofia Vasilopoulou	King's College London, United Kingdom. King’s College London, United Kingdom	697
Sona Golder	Penn State University, USA. Pennsylvania State University, USA	1058
Sona Golder	Penn State University, USA. Pennsylvania State University, USA	1473
Stefan Müller	University College Dublin, Ireland. University College, Dublin, Ireland	539
Stefan Müller	University College Dublin, Ireland. University College, Dublin, Ireland	369
Stefanie Bailer	University of Basel, Switzerland. University of Basel, Germany	1265
Stefanie Bailer	University of Basel, Switzerland. University of Basel, Germany	1485
Sven Hegewald	ETH Zurich, Switzerland. ETH, Switzerland	75
Sven Hegewald	ETH Zurich, Switzerland. ETH, Switzerland	892
Sven Hegewald	ETH Zurich, Switzerland. ETH, Switzerland	1545
Sven-Oliver Proksch	University of Cologne, Germany. University of Cologne, Cologne Center for Comparative Politics, Germany	1971
